sequence,label,url,status,content_type,bytes,raw_path
53,scenarios_construction_page_0008,https://ai-russia.ru/api/scenarios?industry=construction&page=8&limit=20,200,application/json; charset=utf-8,6371,raw_api/00053_scenarios_construction_page_0008.json
54,scenarios_construction_page_0009,https://ai-russia.ru/api/scenarios?industry=construction&page=9&limit=20,200,application/json; charset=utf-8,6596,raw_api/00054_scenarios_construction_page_0009.json
55,scenarios_construction_page_0010,https://ai-russia.ru/api/scenarios?industry=construction&page=10&limit=20,200,application/json; charset=utf-8,6622,raw_api/00055_scenarios_construction_page_0010.json
56,scenarios_construction_page_0011,https://ai-russia.ru/api/scenarios?industry=construction&page=11&limit=20,200,application/json; charset=utf-8,6782,raw_api/00056_scenarios_construction_page_0011.json
57,scenarios_construction_page_0012,https://ai-russia.ru/api/scenarios?industry=construction&page=12&limit=20,200,application/json; charset=utf-8,6668,raw_api/00057_scenarios_construction_page_0012.json
58,scenarios_construction_page_0013,https://ai-russia.ru/api/scenarios?industry=construction&page=13&limit=20,200,application/json; charset=utf-8,6767,raw_api/00058_scenarios_construction_page_0013.json
59,scenarios_construction_page_0014,https://ai-russia.ru/api/scenarios?industry=construction&page=14&limit=20,200,application/json; charset=utf-8,6717,raw_api/00059_scenarios_construction_page_0014.json
60,scenarios_construction_page_0015,https://ai-russia.ru/api/scenarios?industry=construction&page=15&limit=20,200,application/json; charset=utf-8,6670,raw_api/00060_scenarios_construction_page_0015.json
61,scenarios_construction_page_0016,https://ai-russia.ru/api/scenarios?industry=construction&page=16&limit=20,200,application/json; charset=utf-8,6308,raw_api/00061_scenarios_construction_page_0016.json
62,scenarios_construction_page_0017,https://ai-russia.ru/api/scenarios?industry=construction&page=17&limit=20,200,application/json; charset=utf-8,6830,raw_api/00062_scenarios_construction_page_0017.json
63,scenarios_construction_page_0018,https://ai-russia.ru/api/scenarios?industry=construction&page=18&limit=20,200,application/json; charset=utf-8,6656,raw_api/00063_scenarios_construction_page_0018.json
64,scenarios_construction_page_0019,https://ai-russia.ru/api/scenarios?industry=construction&page=19&limit=20,200,application/json; charset=utf-8,6752,raw_api/00064_scenarios_construction_page_0019.json
65,scenarios_construction_page_0020,https://ai-russia.ru/api/scenarios?industry=construction&page=20&limit=20,200,application/json; charset=utf-8,6628,raw_api/00065_scenarios_construction_page_0020.json
66,scenarios_construction_page_0021,https://ai-russia.ru/api/scenarios?industry=construction&page=21&limit=20,200,application/json; charset=utf-8,6482,raw_api/00066_scenarios_construction_page_0021.json
67,scenarios_construction_page_0022,https://ai-russia.ru/api/scenarios?industry=construction&page=22&limit=20,200,application/json; charset=utf-8,6648,raw_api/00067_scenarios_construction_page_0022.json
68,scenarios_construction_page_0023,https://ai-russia.ru/api/scenarios?industry=construction&page=23&limit=20,200,application/json; charset=utf-8,6727,raw_api/00068_scenarios_construction_page_0023.json
69,scenarios_construction_page_0024,https://ai-russia.ru/api/scenarios?industry=construction&page=24&limit=20,200,application/json; charset=utf-8,6996,raw_api/00069_scenarios_construction_page_0024.json
70,scenarios_construction_page_0025,https://ai-russia.ru/api/scenarios?industry=construction&page=25&limit=20,200,application/json; charset=utf-8,6634,raw_api/00070_scenarios_construction_page_0025.json
71,scenarios_education_first_paginated,https://ai-russia.ru/api/scenarios?industry=education&page=1&limit=20,200,application/json; charset=utf-8,7321,raw_api/00071_scenarios_education_first_paginated.json
72,scenarios_education_page_0002,https://ai-russia.ru/api/scenarios?industry=education&page=2&limit=20,200,application/json; charset=utf-8,7395,raw_api/00072_scenarios_education_page_0002.json
73,scenarios_education_page_0003,https://ai-russia.ru/api/scenarios?industry=education&page=3&limit=20,200,application/json; charset=utf-8,7400,raw_api/00073_scenarios_education_page_0003.json
74,scenarios_education_page_0004,https://ai-russia.ru/api/scenarios?industry=education&page=4&limit=20,200,application/json; charset=utf-8,7143,raw_api/00074_scenarios_education_page_0004.json
75,scenarios_education_page_0005,https://ai-russia.ru/api/scenarios?industry=education&page=5&limit=20,200,application/json; charset=utf-8,7179,raw_api/00075_scenarios_education_page_0005.json
76,scenarios_education_page_0006,https://ai-russia.ru/api/scenarios?industry=education&page=6&limit=20,200,application/json; charset=utf-8,7119,raw_api/00076_scenarios_education_page_0006.json
77,scenarios_education_page_0007,https://ai-russia.ru/api/scenarios?industry=education&page=7&limit=20,200,application/json; charset=utf-8,7047,raw_api/00077_scenarios_education_page_0007.json
78,scenarios_education_page_0008,https://ai-russia.ru/api/scenarios?industry=education&page=8&limit=20,200,application/json; charset=utf-8,7190,raw_api/00078_scenarios_education_page_0008.json
79,scenarios_education_page_0009,https://ai-russia.ru/api/scenarios?industry=education&page=9&limit=20,200,application/json; charset=utf-8,7026,raw_api/00079_scenarios_education_page_0009.json
80,scenarios_education_page_0010,https://ai-russia.ru/api/scenarios?industry=education&page=10&limit=20,200,application/json; charset=utf-8,7137,raw_api/00080_scenarios_education_page_0010.json
81,scenarios_education_page_0011,https://ai-russia.ru/api/scenarios?industry=education&page=11&limit=20,200,application/json; charset=utf-8,7194,raw_api/00081_scenarios_education_page_0011.json
82,scenarios_education_page_0012,https://ai-russia.ru/api/scenarios?industry=education&page=12&limit=20,200,application/json; charset=utf-8,6862,raw_api/00082_scenarios_education_page_0012.json
83,scenarios_education_page_0013,https://ai-russia.ru/api/scenarios?industry=education&page=13&limit=20,200,application/json; charset=utf-8,6994,raw_api/00083_scenarios_education_page_0013.json
84,scenarios_education_page_0014,https://ai-russia.ru/api/scenarios?industry=education&page=14&limit=20,200,application/json; charset=utf-8,6726,raw_api/00084_scenarios_education_page_0014.json
85,scenarios_education_page_0015,https://ai-russia.ru/api/scenarios?industry=education&page=15&limit=20,200,application/json; charset=utf-8,6794,raw_api/00085_scenarios_education_page_0015.json
86,scenarios_education_page_0016,https://ai-russia.ru/api/scenarios?industry=education&page=16&limit=20,200,application/json; charset=utf-8,7083,raw_api/00086_scenarios_education_page_0016.json
87,scenarios_education_page_0017,https://ai-russia.ru/api/scenarios?industry=education&page=17&limit=20,200,application/json; charset=utf-8,6850,raw_api/00087_scenarios_education_page_0017.json
88,scenarios_education_page_0018,https://ai-russia.ru/api/scenarios?industry=education&page=18&limit=20,200,application/json; charset=utf-8,7273,raw_api/00088_scenarios_education_page_0018.json
89,scenarios_education_page_0019,https://ai-russia.ru/api/scenarios?industry=education&page=19&limit=20,200,application/json; charset=utf-8,6920,raw_api/00089_scenarios_education_page_0019.json
90,scenarios_education_page_0020,https://ai-russia.ru/api/scenarios?industry=education&page=20&limit=20,200,application/json; charset=utf-8,7016,raw_api/00090_scenarios_education_page_0020.json
91,scenarios_education_page_0021,https://ai-russia.ru/api/scenarios?industry=education&page=21&limit=20,200,application/json; charset=utf-8,7077,raw_api/00091_scenarios_education_page_0021.json
92,scenarios_education_page_0022,https://ai-russia.ru/api/scenarios?industry=education&page=22&limit=20,200,application/json; charset=utf-8,7000,raw_api/00092_scenarios_education_page_0022.json
93,scenarios_education_page_0023,https://ai-russia.ru/api/scenarios?industry=education&page=23&limit=20,200,application/json; charset=utf-8,6873,raw_api/00093_scenarios_education_page_0023.json
94,scenarios_education_page_0024,https://ai-russia.ru/api/scenarios?industry=education&page=24&limit=20,200,application/json; charset=utf-8,6811,raw_api/00094_scenarios_education_page_0024.json
95,scenarios_education_page_0025,https://ai-russia.ru/api/scenarios?industry=education&page=25&limit=20,200,application/json; charset=utf-8,6967,raw_api/00095_scenarios_education_page_0025.json
96,scenarios_healthcare_first_paginated,https://ai-russia.ru/api/scenarios?industry=healthcare&page=1&limit=20,200,application/json; charset=utf-8,7141,raw_api/00096_scenarios_healthcare_first_paginated.json
97,scenarios_healthcare_page_0002,https://ai-russia.ru/api/scenarios?industry=healthcare&page=2&limit=20,200,application/json; charset=utf-8,7000,raw_api/00097_scenarios_healthcare_page_0002.json
98,scenarios_healthcare_page_0003,https://ai-russia.ru/api/scenarios?industry=healthcare&page=3&limit=20,200,application/json; charset=utf-8,7140,raw_api/00098_scenarios_healthcare_page_0003.json
99,scenarios_healthcare_page_0004,https://ai-russia.ru/api/scenarios?industry=healthcare&page=4&limit=20,200,application/json; charset=utf-8,6864,raw_api/00099_scenarios_healthcare_page_0004.json
100,scenarios_healthcare_page_0005,https://ai-russia.ru/api/scenarios?industry=healthcare&page=5&limit=20,200,application/json; charset=utf-8,6963,raw_api/00100_scenarios_healthcare_page_0005.json
101,scenarios_healthcare_page_0006,https://ai-russia.ru/api/scenarios?industry=healthcare&page=6&limit=20,200,application/json; charset=utf-8,7111,raw_api/00101_scenarios_healthcare_page_0006.json
102,scenarios_healthcare_page_0007,https://ai-russia.ru/api/scenarios?industry=healthcare&page=7&limit=20,200,application/json; charset=utf-8,6785,raw_api/00102_scenarios_healthcare_page_0007.json
103,scenarios_healthcare_page_0008,https://ai-russia.ru/api/scenarios?industry=healthcare&page=8&limit=20,200,application/json; charset=utf-8,7215,raw_api/00103_scenarios_healthcare_page_0008.json
104,scenarios_healthcare_page_0009,https://ai-russia.ru/api/scenarios?industry=healthcare&page=9&limit=20,200,application/json; charset=utf-8,6701,raw_api/00104_scenarios_healthcare_page_0009.json
105,scenarios_healthcare_page_0010,https://ai-russia.ru/api/scenarios?industry=healthcare&page=10&limit=20,200,application/json; charset=utf-8,6761,raw_api/00105_scenarios_healthcare_page_0010.json
106,scenarios_healthcare_page_0011,https://ai-russia.ru/api/scenarios?industry=healthcare&page=11&limit=20,200,application/json; charset=utf-8,7154,raw_api/00106_scenarios_healthcare_page_0011.json
107,scenarios_healthcare_page_0012,https://ai-russia.ru/api/scenarios?industry=healthcare&page=12&limit=20,200,application/json; charset=utf-8,6698,raw_api/00107_scenarios_healthcare_page_0012.json
108,scenarios_healthcare_page_0013,https://ai-russia.ru/api/scenarios?industry=healthcare&page=13&limit=20,200,application/json; charset=utf-8,6945,raw_api/00108_scenarios_healthcare_page_0013.json
109,scenarios_healthcare_page_0014,https://ai-russia.ru/api/scenarios?industry=healthcare&page=14&limit=20,200,application/json; charset=utf-8,6868,raw_api/00109_scenarios_healthcare_page_0014.json
110,scenarios_healthcare_page_0015,https://ai-russia.ru/api/scenarios?industry=healthcare&page=15&limit=20,200,application/json; charset=utf-8,6989,raw_api/00110_scenarios_healthcare_page_0015.json
111,scenarios_healthcare_page_0016,https://ai-russia.ru/api/scenarios?industry=healthcare&page=16&limit=20,200,application/json; charset=utf-8,7300,raw_api/00111_scenarios_healthcare_page_0016.json
112,scenarios_healthcare_page_0017,https://ai-russia.ru/api/scenarios?industry=healthcare&page=17&limit=20,200,application/json; charset=utf-8,6693,raw_api/00112_scenarios_healthcare_page_0017.json
113,scenarios_healthcare_page_0018,https://ai-russia.ru/api/scenarios?industry=healthcare&page=18&limit=20,200,application/json; charset=utf-8,6996,raw_api/00113_scenarios_healthcare_page_0018.json
114,scenarios_healthcare_page_0019,https://ai-russia.ru/api/scenarios?industry=healthcare&page=19&limit=20,200,application/json; charset=utf-8,6956,raw_api/00114_scenarios_healthcare_page_0019.json
115,scenarios_healthcare_page_0020,https://ai-russia.ru/api/scenarios?industry=healthcare&page=20&limit=20,200,application/json; charset=utf-8,7404,raw_api/00115_scenarios_healthcare_page_0020.json
116,scenarios_healthcare_page_0021,https://ai-russia.ru/api/scenarios?industry=healthcare&page=21&limit=20,200,application/json; charset=utf-8,7177,raw_api/00116_scenarios_healthcare_page_0021.json
117,scenarios_healthcare_page_0022,https://ai-russia.ru/api/scenarios?industry=healthcare&page=22&limit=20,200,application/json; charset=utf-8,6961,raw_api/00117_scenarios_healthcare_page_0022.json
118,scenarios_healthcare_page_0023,https://ai-russia.ru/api/scenarios?industry=healthcare&page=23&limit=20,200,application/json; charset=utf-8,7436,raw_api/00118_scenarios_healthcare_page_0023.json
119,scenarios_healthcare_page_0024,https://ai-russia.ru/api/scenarios?industry=healthcare&page=24&limit=20,200,application/json; charset=utf-8,7008,raw_api/00119_scenarios_healthcare_page_0024.json
120,scenarios_healthcare_page_0025,https://ai-russia.ru/api/scenarios?industry=healthcare&page=25&limit=20,200,application/json; charset=utf-8,6705,raw_api/00120_scenarios_healthcare_page_0025.json
121,scenarios_industrial_first_paginated,https://ai-russia.ru/api/scenarios?industry=industrial&page=1&limit=20,200,application/json; charset=utf-8,6649,raw_api/00121_scenarios_industrial_first_paginated.json
122,scenarios_industrial_page_0002,https://ai-russia.ru/api/scenarios?industry=industrial&page=2&limit=20,200,application/json; charset=utf-8,6365,raw_api/00122_scenarios_industrial_page_0002.json
123,scenarios_industrial_page_0003,https://ai-russia.ru/api/scenarios?industry=industrial&page=3&limit=20,200,application/json; charset=utf-8,6739,raw_api/00123_scenarios_industrial_page_0003.json
124,scenarios_industrial_page_0004,https://ai-russia.ru/api/scenarios?industry=industrial&page=4&limit=20,200,application/json; charset=utf-8,6491,raw_api/00124_scenarios_industrial_page_0004.json
125,scenarios_industrial_page_0005,https://ai-russia.ru/api/scenarios?industry=industrial&page=5&limit=20,200,application/json; charset=utf-8,6572,raw_api/00125_scenarios_industrial_page_0005.json
126,scenarios_industrial_page_0006,https://ai-russia.ru/api/scenarios?industry=industrial&page=6&limit=20,200,application/json; charset=utf-8,6351,raw_api/00126_scenarios_industrial_page_0006.json
127,scenarios_industrial_page_0007,https://ai-russia.ru/api/scenarios?industry=industrial&page=7&limit=20,200,application/json; charset=utf-8,6457,raw_api/00127_scenarios_industrial_page_0007.json
128,scenarios_industrial_page_0008,https://ai-russia.ru/api/scenarios?industry=industrial&page=8&limit=20,200,application/json; charset=utf-8,6589,raw_api/00128_scenarios_industrial_page_0008.json
129,scenarios_industrial_page_0009,https://ai-russia.ru/api/scenarios?industry=industrial&page=9&limit=20,200,application/json; charset=utf-8,6342,raw_api/00129_scenarios_industrial_page_0009.json
130,scenarios_industrial_page_0010,https://ai-russia.ru/api/scenarios?industry=industrial&page=10&limit=20,200,application/json; charset=utf-8,6520,raw_api/00130_scenarios_industrial_page_0010.json
131,scenarios_industrial_page_0011,https://ai-russia.ru/api/scenarios?industry=industrial&page=11&limit=20,200,application/json; charset=utf-8,6362,raw_api/00131_scenarios_industrial_page_0011.json
132,scenarios_industrial_page_0012,https://ai-russia.ru/api/scenarios?industry=industrial&page=12&limit=20,200,application/json; charset=utf-8,6425,raw_api/00132_scenarios_industrial_page_0012.json
133,scenarios_industrial_page_0013,https://ai-russia.ru/api/scenarios?industry=industrial&page=13&limit=20,200,application/json; charset=utf-8,6816,raw_api/00133_scenarios_industrial_page_0013.json
134,scenarios_industrial_page_0014,https://ai-russia.ru/api/scenarios?industry=industrial&page=14&limit=20,200,application/json; charset=utf-8,6557,raw_api/00134_scenarios_industrial_page_0014.json
135,scenarios_industrial_page_0015,https://ai-russia.ru/api/scenarios?industry=industrial&page=15&limit=20,200,application/json; charset=utf-8,6394,raw_api/00135_scenarios_industrial_page_0015.json
136,scenarios_industrial_page_0016,https://ai-russia.ru/api/scenarios?industry=industrial&page=16&limit=20,200,application/json; charset=utf-8,6724,raw_api/00136_scenarios_industrial_page_0016.json
137,scenarios_industrial_page_0017,https://ai-russia.ru/api/scenarios?industry=industrial&page=17&limit=20,200,application/json; charset=utf-8,6469,raw_api/00137_scenarios_industrial_page_0017.json
138,scenarios_industrial_page_0018,https://ai-russia.ru/api/scenarios?industry=industrial&page=18&limit=20,200,application/json; charset=utf-8,6794,raw_api/00138_scenarios_industrial_page_0018.json
139,scenarios_industrial_page_0019,https://ai-russia.ru/api/scenarios?industry=industrial&page=19&limit=20,200,application/json; charset=utf-8,6189,raw_api/00139_scenarios_industrial_page_0019.json
140,scenarios_industrial_page_0020,https://ai-russia.ru/api/scenarios?industry=industrial&page=20&limit=20,200,application/json; charset=utf-8,6255,raw_api/00140_scenarios_industrial_page_0020.json
141,scenarios_industrial_page_0021,https://ai-russia.ru/api/scenarios?industry=industrial&page=21&limit=20,200,application/json; charset=utf-8,6629,raw_api/00141_scenarios_industrial_page_0021.json
142,scenarios_industrial_page_0022,https://ai-russia.ru/api/scenarios?industry=industrial&page=22&limit=20,200,application/json; charset=utf-8,6368,raw_api/00142_scenarios_industrial_page_0022.json
143,scenarios_industrial_page_0023,https://ai-russia.ru/api/scenarios?industry=industrial&page=23&limit=20,200,application/json; charset=utf-8,6678,raw_api/00143_scenarios_industrial_page_0023.json
144,scenarios_industrial_page_0024,https://ai-russia.ru/api/scenarios?industry=industrial&page=24&limit=20,200,application/json; charset=utf-8,6491,raw_api/00144_scenarios_industrial_page_0024.json
145,scenarios_industrial_page_0025,https://ai-russia.ru/api/scenarios?industry=industrial&page=25&limit=20,200,application/json; charset=utf-8,6449,raw_api/00145_scenarios_industrial_page_0025.json
146,scenarios_it-telecom_first_paginated,https://ai-russia.ru/api/scenarios?industry=it-telecom&page=1&limit=20,200,application/json; charset=utf-8,7444,raw_api/00146_scenarios_it-telecom_first_paginated.json
147,scenarios_it-telecom_page_0002,https://ai-russia.ru/api/scenarios?industry=it-telecom&page=2&limit=20,200,application/json; charset=utf-8,6846,raw_api/00147_scenarios_it-telecom_page_0002.json
148,scenarios_it-telecom_page_0003,https://ai-russia.ru/api/scenarios?industry=it-telecom&page=3&limit=20,200,application/json; charset=utf-8,6661,raw_api/00148_scenarios_it-telecom_page_0003.json
149,scenarios_it-telecom_page_0004,https://ai-russia.ru/api/scenarios?industry=it-telecom&page=4&limit=20,200,application/json; charset=utf-8,6667,raw_api/00149_scenarios_it-telecom_page_0004.json
150,scenarios_it-telecom_page_0005,https://ai-russia.ru/api/scenarios?industry=it-telecom&page=5&limit=20,200,application/json; charset=utf-8,6606,raw_api/00150_scenarios_it-telecom_page_0005.json
151,scenarios_it-telecom_page_0006,https://ai-russia.ru/api/scenarios?industry=it-telecom&page=6&limit=20,200,application/json; charset=utf-8,6762,raw_api/00151_scenarios_it-telecom_page_0006.json
152,scenarios_it-telecom_page_0007,https://ai-russia.ru/api/scenarios?industry=it-telecom&page=7&limit=20,200,application/json; charset=utf-8,6238,raw_api/00152_scenarios_it-telecom_page_0007.json
153,scenarios_it-telecom_page_0008,https://ai-russia.ru/api/scenarios?industry=it-telecom&page=8&limit=20,200,application/json; charset=utf-8,6584,raw_api/00153_scenarios_it-telecom_page_0008.json
154,scenarios_it-telecom_page_0009,https://ai-russia.ru/api/scenarios?industry=it-telecom&page=9&limit=20,200,application/json; charset=utf-8,6191,raw_api/00154_scenarios_it-telecom_page_0009.json
155,scenarios_it-telecom_page_0010,https://ai-russia.ru/api/scenarios?industry=it-telecom&page=10&limit=20,200,application/json; charset=utf-8,6380,raw_api/00155_scenarios_it-telecom_page_0010.json
156,scenarios_it-telecom_page_0011,https://ai-russia.ru/api/scenarios?industry=it-telecom&page=11&limit=20,200,application/json; charset=utf-8,6504,raw_api/00156_scenarios_it-telecom_page_0011.json
